date,price
2023-12-29,77.04
2023-12-28,78.39
2023-12-27,79.65
2023-12-26,81.07
2023-12-22,79.07
2023-12-21,79.39
2023-12-20,79.7
2023-12-19,79.23
2023-12-18,77.95
2023-12-15,76.55
2023-12-14,76.61
2023-12-13,74.26
2023-12-12,73.24
2023-12-11,76.03
2023-12-08,75.84
2023-12-07,74.05
2023-12-06,74.3
2023-12-05,77.2
2023-12-04,78.03
2023-12-01,78.88
2023-11-30,82.83
2023-11-29,83.1
2023-11-28,81.68
2023-11-27,79.98
2023-11-24,80.58
2023-11-23,81.42
2023-11-22,81.96
2023-11-21,82.45
2023-11-20,82.32
2023-11-17,80.61
2023-11-16,77.42
2023-11-15,81.18
2023-11-14,82.47
2023-11-13,82.52
2023-11-10,81.43
2023-11-09,80.01
2023-11-08,79.54
2023-11-07,81.61
2023-11-06,85.18
2023-11-03,84.89
2023-11-02,86.85
2023-11-01,84.63
2023-10-31,87.41
2023-10-30,87.45
2023-10-27,90.48
2023-10-26,87.93
2023-10-25,90.13
2023-10-24,88.07
2023-10-23,89.83
2023-10-20,92.16
2023-10-19,92.38
2023-10-18,91.5
2023-10-17,89.9
2023-10-16,89.65
2023-10-13,90.89
2023-10-12,86.0
2023-10-11,85.82
2023-10-10,87.65
2023-10-09,88.15
2023-10-06,84.58
2023-10-05,84.07
2023-10-04,85.81
2023-10-03,90.92
2023-10-02,90.71
2023-09-29,95.31
2023-09-28,95.38
2023-09-27,96.55
2023-09-26,93.96
2023-09-25,93.29
2023-09-22,93.27
2023-09-21,93.3
2023-09-20,93.53
2023-09-19,94.34
2023-09-18,94.43
2023-09-15,93.93
2023-09-14,93.7
2023-09-13,91.88
2023-09-12,92.06
2023-09-11,90.64
2023-09-08,90.65
2023-09-07,89.92
2023-09-06,90.6
2023-09-05,90.04
2023-09-04,89.0
2023-09-01,88.55
2023-08-31,86.86
2023-08-30,85.86
2023-08-29,85.49
2023-08-28,84.42
2023-08-25,84.48
2023-08-24,83.36
2023-08-23,83.21
2023-08-22,84.03
2023-08-21,84.46
2023-08-18,84.8
2023-08-17,84.12
2023-08-16,83.45
2023-08-15,84.89
2023-08-14,86.21
2023-08-11,86.81
2023-08-10,86.4
2023-08-09,87.55
2023-08-08,86.17
2023-08-07,85.34
2023-08-04,86.24
2023-08-03,85.14
2023-08-02,83.2
2023-08-01,84.91
2023-07-31,85.56
2023-07-28,84.99
2023-07-27,84.24
2023-07-26,82.92
2023-07-25,83.64
2023-07-24,82.74
2023-07-21,81.07
2023-07-20,79.64
2023-07-19,79.46
2023-07-18,79.63
2023-07-17,78.5
2023-07-14,79.87
2023-07-13,81.36
2023-07-12,80.11
2023-07-11,79.4
2023-07-10,77.69
2023-07-07,78.47
2023-07-06,76.52
2023-07-05,76.65
2023-07-04,76.25
2023-07-03,74.65
2023-06-30,74.9
2023-06-29,74.34
2023-06-28,74.03
2023-06-27,72.26
2023-06-26,74.18
2023-06-23,73.85
2023-06-22,74.14
2023-06-21,77.12
2023-06-20,75.9
2023-06-19,76.09
2023-06-16,76.61
2023-06-15,75.67
2023-06-14,73.2
2023-06-13,74.29
2023-06-12,71.84
2023-06-09,74.79
2023-06-08,75.96
2023-06-07,76.95
2023-06-06,76.29
2023-06-05,76.71
2023-06-02,76.13
2023-06-01,74.28
2023-05-31,72.66
2023-05-30,73.54
2023-05-29,77.07
2023-05-26,76.95
2023-05-25,76.26
2023-05-24,78.36
2023-05-23,76.84
2023-05-22,75.99
2023-05-19,75.58
2023-05-18,75.86
2023-05-17,76.96
2023-05-16,74.91
2023-05-15,75.23
2023-05-12,74.17
2023-05-11,74.98
2023-05-10,76.41
2023-05-09,77.44
2023-05-08,77.01
2023-05-05,75.3
2023-05-04,72.5
2023-05-03,72.33
2023-05-02,75.32
2023-05-01,79.31
2023-04-28,79.54
2023-04-27,78.37
2023-04-26,77.69
2023-04-25,80.77
2023-04-24,82.73
2023-04-21,81.66
2023-04-20,81.1
2023-04-19,83.12
2023-04-18,84.77
2023-04-17,84.76
2023-04-14,86.31
2023-04-13,86.09
2023-04-12,87.33
2023-04-11,85.61
2023-04-10,84.18
2023-04-06,85.12
2023-04-05,84.99
2023-04-04,84.94
2023-04-03,84.93
2023-03-31,79.77
2023-03-30,79.27
2023-03-29,78.28
2023-03-28,78.65
2023-03-27,78.12
2023-03-24,74.99
2023-03-23,75.91
2023-03-22,76.38
2023-03-21,75.03
2023-03-20,73.54
2023-03-17,72.77
2023-03-16,74.29
2023-03-15,73.28
2023-03-14,77.45
2023-03-13,80.77
2023-03-10,82.78
2023-03-09,81.59
2023-03-08,82.66
2023-03-07,83.29
2023-03-06,86.18
2023-03-03,85.83
2023-03-02,84.75
2023-03-01,84.31
2023-02-28,83.89
2023-02-27,82.45
2023-02-24,82.82
2023-02-23,81.95
2023-02-22,80.45
2023-02-21,83.05
2023-02-20,84.07
2023-02-17,83.0
2023-02-16,85.14
2023-02-15,85.38
2023-02-14,85.58
2023-02-13,86.61
2023-02-10,86.39
2023-02-09,84.5
2023-02-08,85.09
2023-02-07,83.69
2023-02-06,80.99
2023-02-03,79.94
2023-02-02,82.17
2023-02-01,82.84
2023-01-31,84.49
2023-01-30,84.9
2023-01-27,86.66
2023-01-26,87.47
2023-01-25,86.12
2023-01-24,86.13
2023-01-23,88.19
2023-01-20,87.63
2023-01-19,86.16
2023-01-18,84.98
2023-01-17,85.92
2023-01-16,84.46
2023-01-13,85.28
2023-01-12,84.03
2023-01-11,82.67
2023-01-10,80.1
2023-01-09,79.65
2023-01-06,78.57
2023-01-05,78.69
2023-01-04,77.84
2023-01-03,82.1
2022-12-30,85.91
2022-12-29,82.26
2022-12-28,83.26
2022-12-27,84.68
2022-12-23,84.5
2022-12-22,81.67
2022-12-21,82.58
2022-12-20,80.53
2022-12-19,80.14
2022-12-16,79.49
2022-12-15,81.32
2022-12-14,82.75
2022-12-13,80.86
2022-12-12,78.34
2022-12-09,76.6
2022-12-08,76.59
2022-12-07,77.59
2022-12-06,79.67
2022-12-05,82.66
2022-12-02,85.55
2022-12-01,86.88
2022-11-30,85.43
2022-11-29,83.03
2022-11-28,83.19
2022-11-25,83.63
2022-11-24,85.34
2022-11-23,85.41
2022-11-22,88.36
2022-11-21,87.45
2022-11-18,87.62
2022-11-17,89.78
2022-11-16,92.86
2022-11-15,93.86
2022-11-14,93.14
2022-11-11,95.99
2022-11-10,93.67
2022-11-09,92.65
2022-11-08,95.36
2022-11-07,97.92
2022-11-04,98.57
2022-11-03,94.67
2022-11-02,96.16
2022-11-01,94.65
2022-10-31,94.83
2022-10-28,95.77
2022-10-27,96.96
2022-10-26,95.69
2022-10-25,91.74
2022-10-24,91.21
2022-10-21,91.34
2022-10-20,90.45
2022-10-19,90.56
2022-10-18,88.6
2022-10-17,90.18
2022-10-14,90.15
2022-10-13,94.57
2022-10-12,92.45
2022-10-11,94.29
2022-10-10,96.19
2022-10-07,97.92
2022-10-06,94.42
2022-10-05,93.37
2022-10-04,91.8
2022-10-03,88.86
2022-09-30,87.96
2022-09-29,88.49
2022-09-28,89.32
2022-09-27,84.87
2022-09-26,82.86
2022-09-23,85.03
2022-09-22,89.53
2022-09-21,88.8
2022-09-20,89.4
2022-09-19,92.0
2022-09-16,91.35
2022-09-15,90.84
2022-09-14,94.1
2022-09-13,93.17
2022-09-12,94.0
2022-09-09,92.84
2022-09-08,88.62
2022-09-07,88.0
2022-09-06,92.83
2022-09-05,95.74
2022-09-02,93.02
2022-09-01,92.36
2022-08-31,96.49
2022-08-30,97.84
2022-08-29,102.93
2022-08-26,99.01
2022-08-25,98.46
2022-08-24,100.34
2022-08-23,99.17
2022-08-22,95.81
2022-08-19,96.72
2022-08-18,96.59
2022-08-17,93.65
2022-08-16,92.34
2022-08-15,95.1
2022-08-12,98.15
2022-08-11,99.6
2022-08-10,97.4
2022-08-09,96.31
2022-08-08,96.65
2022-08-05,94.92
2022-08-04,94.12
2022-08-03,96.78
2022-08-02,100.54
2022-08-01,100.03
2022-07-29,110.01
2022-07-28,107.14
2022-07-27,106.62
2022-07-26,104.4
2022-07-25,105.15
2022-07-22,103.2
2022-07-21,103.86
2022-07-20,106.92
2022-07-19,107.35
2022-07-18,106.27
2022-07-15,101.16
2022-07-14,99.1
2022-07-13,99.57
2022-07-12,99.49
2022-07-11,107.1
2022-07-08,107.02
2022-07-07,104.65
2022-07-06,100.69
2022-07-05,102.77
2022-07-04,113.5
2022-07-01,111.63
2022-06-30,114.81
2022-06-29,116.26
2022-06-28,117.98
2022-06-27,115.09
2022-06-24,113.12
2022-06-23,110.05
2022-06-22,111.74
2022-06-21,114.65
2022-06-20,114.13
2022-06-17,113.12
2022-06-16,119.81
2022-06-15,118.51
2022-06-14,121.17
2022-06-13,122.27
2022-06-10,122.01
2022-06-09,123.07
2022-06-08,123.58
2022-06-07,120.57
2022-06-06,119.51
2022-06-03,119.72
2022-06-02,117.61
2022-06-01,116.29
2022-05-31,122.84
2022-05-30,121.67
2022-05-27,119.43
2022-05-26,117.4
2022-05-25,114.03
2022-05-24,113.56
2022-05-23,113.42
2022-05-20,112.55
2022-05-19,112.04
2022-05-18,109.11
2022-05-17,111.93
2022-05-16,114.24
2022-05-13,111.55
2022-05-12,107.45
2022-05-11,107.51
2022-05-10,102.46
2022-05-09,105.94
2022-05-06,112.39
2022-05-05,110.9
2022-05-04,110.14
2022-05-03,104.97
2022-05-02,107.58
2022-04-29,109.34
2022-04-28,107.59
2022-04-27,105.32
2022-04-26,104.99
2022-04-25,102.32
2022-04-22,106.65
2022-04-21,108.33
2022-04-20,106.8
2022-04-19,107.25
2022-04-18,113.16
2022-04-14,111.7
2022-04-13,108.78
2022-04-12,104.64
2022-04-11,98.48
2022-04-08,102.78
2022-04-07,100.58
2022-04-06,101.07
2022-04-05,106.64
2022-04-04,107.53
2022-04-01,104.39
2022-03-31,107.91
2022-03-30,113.45
2022-03-29,110.23
2022-03-28,112.48
2022-03-25,120.65
2022-03-24,119.03
2022-03-23,121.6
2022-03-22,115.48
2022-03-21,115.62
2022-03-18,107.93
2022-03-17,106.64
2022-03-16,98.02
2022-03-15,99.91
2022-03-14,106.9
2022-03-11,112.67
2022-03-10,109.33
2022-03-09,111.14
2022-03-08,127.98
2022-03-07,123.21
2022-03-04,118.11
2022-03-03,110.46
2022-03-02,112.93
2022-03-01,104.97
2022-02-28,100.99
2022-02-25,97.93
2022-02-24,99.08
2022-02-23,96.84
2022-02-22,96.84
2022-02-21,95.39
2022-02-18,93.54
2022-02-17,92.97
2022-02-16,94.81
2022-02-15,93.28
2022-02-14,96.48
2022-02-11,94.44
2022-02-10,91.41
2022-02-09,91.55
2022-02-08,90.78
2022-02-07,92.69
2022-02-04,93.27
2022-02-03,91.11
2022-02-02,89.47
2022-02-01,89.16
2022-01-31,91.21
2022-01-28,90.03
2022-01-27,89.34
2022-01-26,89.96
2022-01-25,88.2
2022-01-24,86.27
2022-01-21,87.89
2022-01-20,88.38
2022-01-19,88.44
2022-01-18,87.51
2022-01-17,86.48
2022-01-14,86.06
2022-01-13,84.47
2022-01-12,84.67
2022-01-11,83.72
2022-01-10,80.87
2022-01-07,81.75
2022-01-06,81.99
2022-01-05,80.8
2022-01-04,80.0
2022-01-03,78.98
2021-12-31,77.78
2021-12-30,79.32
2021-12-29,79.23
2021-12-28,78.94
2021-12-27,78.6
2021-12-24,76.14
2021-12-23,76.85
2021-12-22,75.29
2021-12-21,73.98
2021-12-20,71.52
2021-12-17,73.52
2021-12-16,75.02
2021-12-15,73.88
2021-12-14,73.7
2021-12-13,74.39
2021-12-10,75.15
2021-12-09,74.42
2021-12-08,75.82
2021-12-07,75.44
2021-12-06,73.08
2021-12-03,69.88
2021-12-02,69.67
2021-12-01,68.87
2021-11-30,70.57
2021-11-29,73.44
2021-11-26,72.72
2021-11-25,82.22
2021-11-24,82.25
2021-11-23,82.31
2021-11-22,79.7
2021-11-19,78.89
2021-11-18,81.24
2021-11-17,80.28
2021-11-16,82.43
2021-11-15,82.05
2021-11-12,82.17
2021-11-11,82.87
2021-11-10,82.64
2021-11-09,84.78
2021-11-08,83.43
2021-11-05,82.74
2021-11-04,80.54
2021-11-03,81.99
2021-11-02,84.72
2021-11-01,84.71
2021-10-29,84.38
2021-10-28,84.32
2021-10-27,84.58
2021-10-26,86.4
2021-10-25,85.99
2021-10-22,85.53
2021-10-21,84.61
2021-10-20,85.82
2021-10-19,85.08
2021-10-18,84.33
2021-10-15,84.86
2021-10-14,84.0
2021-10-13,83.18
2021-10-12,83.42
2021-10-11,83.65
2021-10-08,82.39
2021-10-07,81.95
2021-10-06,81.08
2021-10-05,82.56
2021-10-04,81.26
2021-10-01,79.28
2021-09-30,78.52
2021-09-29,78.64
2021-09-28,79.09
2021-09-27,79.53
2021-09-24,78.09
2021-09-23,77.25
2021-09-22,76.19
2021-09-21,74.36
2021-09-20,73.92
2021-09-17,75.34
2021-09-16,75.67
2021-09-15,75.46
2021-09-14,73.6
2021-09-13,73.51
2021-09-10,72.92
2021-09-09,71.45
2021-09-08,72.6
2021-09-07,71.69
2021-09-06,72.22
2021-09-03,72.61
2021-09-02,73.03
2021-09-01,71.59
2021-08-31,72.99
2021-08-30,73.41
2021-08-27,72.7
2021-08-26,71.07
2021-08-25,72.25
2021-08-24,71.05
2021-08-23,68.75
2021-08-20,65.18
2021-08-19,66.45
2021-08-18,68.23
2021-08-17,69.03
2021-08-16,69.51
2021-08-13,70.59
2021-08-12,71.31
2021-08-11,71.44
2021-08-10,70.63
2021-08-09,69.04
2021-08-06,70.7
2021-08-05,71.29
2021-08-04,70.38
2021-08-03,72.41
2021-08-02,72.89
2021-07-30,76.33
2021-07-29,76.05
2021-07-28,74.74
2021-07-27,74.48
2021-07-26,74.5
2021-07-23,74.1
2021-07-22,73.79
2021-07-21,72.23
2021-07-20,69.35
2021-07-19,68.62
2021-07-16,73.59
2021-07-15,73.47
2021-07-14,74.76
2021-07-13,76.49
2021-07-12,75.16
2021-07-09,75.55
2021-07-08,74.12
2021-07-07,73.43
2021-07-06,74.53
2021-07-05,77.16
2021-07-02,76.17
2021-07-01,75.84
2021-06-30,75.13
2021-06-29,74.76
2021-06-28,74.68
2021-06-25,76.18
2021-06-24,75.56
2021-06-23,75.19
2021-06-22,74.81
2021-06-21,74.9
2021-06-18,73.51
2021-06-17,73.08
2021-06-16,74.39
2021-06-15,73.99
2021-06-14,72.86
2021-06-11,72.69
2021-06-10,72.52
2021-06-09,72.22
2021-06-08,72.22
2021-06-07,71.49
2021-06-04,71.89
2021-06-03,71.31
2021-06-02,71.35
2021-06-01,70.25
2021-05-31,69.32
2021-05-28,69.63
2021-05-27,69.46
2021-05-26,68.87
2021-05-25,68.65
2021-05-24,68.46
2021-05-21,66.44
2021-05-20,65.11
2021-05-19,66.66
2021-05-18,68.71
2021-05-17,69.46
2021-05-14,68.71
2021-05-13,67.05
2021-05-12,69.32
2021-05-11,68.55
2021-05-10,68.32
2021-05-07,68.28
2021-05-06,68.09
2021-05-05,68.96
2021-05-04,68.88
2021-05-03,67.56
2021-04-30,67.25
2021-04-29,68.56
2021-04-28,67.27
2021-04-27,66.42
2021-04-26,65.65
2021-04-23,66.11
2021-04-22,65.4
2021-04-21,65.32
2021-04-20,66.57
2021-04-19,67.05
2021-04-16,66.77
2021-04-15,66.94
2021-04-14,66.58
2021-04-13,63.67
2021-04-12,63.28
2021-04-09,62.95
2021-04-08,63.2
2021-04-07,63.16
2021-04-06,62.74
2021-04-05,62.15
2021-04-01,64.86
2021-03-31,63.54
2021-03-30,64.14
2021-03-29,64.98
2021-03-26,64.57
2021-03-25,61.95
2021-03-24,64.41
2021-03-23,60.79
2021-03-22,64.62
2021-03-19,64.53
2021-03-18,63.28
2021-03-17,68.0
2021-03-16,68.39
2021-03-15,68.88
2021-03-12,69.22
2021-03-11,69.63
2021-03-10,67.9
2021-03-09,67.52
2021-03-08,68.24
2021-03-05,69.36
2021-03-04,66.74
2021-03-03,64.07
2021-03-02,62.7
2021-03-01,63.69
2021-02-26,66.13
2021-02-25,66.88
2021-02-24,67.04
2021-02-23,65.37
2021-02-22,65.24
2021-02-19,62.91
2021-02-18,63.93
2021-02-17,64.34
2021-02-16,63.35
2021-02-15,63.3
2021-02-12,62.43
2021-02-11,61.14
2021-02-10,61.47
2021-02-09,61.09
2021-02-08,60.56
2021-02-05,59.34
2021-02-04,58.84
2021-02-03,58.46
2021-02-02,57.46
2021-02-01,56.35
2021-01-29,55.88
2021-01-28,55.53
2021-01-27,55.81
2021-01-26,55.91
2021-01-25,55.88
2021-01-22,55.41
2021-01-21,56.1
2021-01-20,56.08
2021-01-19,55.9
2021-01-18,54.75
2021-01-15,55.1
2021-01-14,56.42
2021-01-13,56.06
2021-01-12,56.58
2021-01-11,55.66
2021-01-08,55.99
2021-01-07,54.38
2021-01-06,54.3
2021-01-05,53.6
2021-01-04,51.09
2020-12-31,51.8
2020-12-30,51.34
2020-12-29,51.09
2020-12-28,50.86
2020-12-24,51.29
2020-12-23,51.2
2020-12-22,50.08
2020-12-21,50.91
2020-12-18,52.26
2020-12-17,51.5
2020-12-16,51.08
2020-12-15,50.76
2020-12-14,50.29
2020-12-11,49.97
2020-12-10,50.25
2020-12-09,48.86
2020-12-08,48.84
2020-12-07,48.79
2020-12-04,49.25
2020-12-03,48.71
2020-12-02,48.25
2020-12-01,47.42
2020-11-30,47.59
2020-11-27,48.18
2020-11-26,47.8
2020-11-25,48.61
2020-11-24,47.86
2020-11-23,46.06
2020-11-20,44.96
2020-11-19,44.2
2020-11-18,44.34
2020-11-17,43.75
2020-11-16,43.82
2020-11-13,42.78
2020-11-12,43.53
2020-11-11,43.8
2020-11-10,43.61
2020-11-09,42.4
2020-11-06,39.45
2020-11-05,40.93
2020-11-04,41.23
2020-11-03,39.71
2020-11-02,38.97
2020-10-30,37.46
2020-10-29,37.65
2020-10-28,39.12
2020-10-27,41.2
2020-10-26,40.46
2020-10-23,41.77
2020-10-22,42.46
2020-10-21,41.73
2020-10-20,43.16
2020-10-19,42.62
2020-10-16,42.93
2020-10-15,43.16
2020-10-14,43.32
2020-10-13,42.45
2020-10-12,41.72
2020-10-09,42.85
2020-10-08,43.34
2020-10-07,41.99
2020-10-06,42.65
2020-10-05,41.29
2020-10-02,39.27
2020-10-01,40.93
2020-09-30,40.95
2020-09-29,41.03
2020-09-28,42.43
2020-09-25,41.92
2020-09-24,41.94
2020-09-23,41.77
2020-09-22,41.72
2020-09-21,41.44
2020-09-18,43.15
2020-09-17,43.3
2020-09-16,42.22
2020-09-15,40.53
2020-09-14,39.61
2020-09-11,39.83
2020-09-10,40.06
2020-09-09,40.79
2020-09-08,39.78
2020-09-07,42.01
2020-09-04,42.66
2020-09-03,44.07
2020-09-02,44.43
2020-09-01,45.58
2020-08-31,45.28
2020-08-28,45.05
2020-08-27,45.09
2020-08-26,45.64
2020-08-25,45.86
2020-08-24,45.13
2020-08-21,44.35
2020-08-20,44.9
2020-08-19,45.37
2020-08-18,45.46
2020-08-17,45.37
2020-08-14,44.8
2020-08-13,44.96
2020-08-12,45.43
2020-08-11,44.5
2020-08-10,44.99
2020-08-07,44.4
2020-08-06,45.09
2020-08-05,45.17
2020-08-04,44.43
2020-08-03,44.15
2020-07-31,43.3
2020-07-30,42.94
2020-07-29,43.75
2020-07-28,43.22
2020-07-27,43.41
2020-07-24,43.34
2020-07-23,43.31
2020-07-22,44.29
2020-07-21,44.32
2020-07-20,43.28
2020-07-17,43.14
2020-07-16,43.37
2020-07-15,43.79
2020-07-14,42.9
2020-07-13,42.72
2020-07-10,43.24
2020-07-09,42.35
2020-07-08,43.29
2020-07-07,43.08
2020-07-06,43.1
2020-07-03,42.8
2020-07-02,43.14
2020-07-01,42.03
2020-06-30,41.15
2020-06-29,41.71
2020-06-26,41.02
2020-06-25,41.05
2020-06-24,40.31
2020-06-23,42.63
2020-06-22,43.08
2020-06-19,42.19
2020-06-18,41.51
2020-06-17,40.71
2020-06-16,40.96
2020-06-15,39.72
2020-06-12,38.73
2020-06-11,38.55
2020-06-10,41.73
2020-06-09,41.18
2020-06-08,40.8
2020-06-05,42.3
2020-06-04,39.99
2020-06-03,39.79
2020-06-02,39.57
2020-06-01,38.32
2020-05-29,35.33
2020-05-28,35.29
2020-05-27,34.74
2020-05-26,36.17
2020-05-25,35.53
2020-05-22,35.13
2020-05-21,36.06
2020-05-20,35.75
2020-05-19,34.65
2020-05-18,34.81
2020-05-15,32.5
2020-05-14,31.13
2020-05-13,29.19
2020-05-12,29.98
2020-05-11,29.63
2020-05-08,30.97
2020-05-07,29.46
2020-05-06,29.72
2020-05-05,30.97
2020-05-04,27.2
2020-05-01,26.44
2020-04-30,25.27
2020-04-29,22.54
2020-04-28,20.46
2020-04-27,19.99
2020-04-24,21.44
2020-04-23,21.33
2020-04-22,20.37
2020-04-21,19.33
2020-04-20,25.57
2020-04-17,28.08
2020-04-16,27.82
2020-04-15,27.69
2020-04-14,29.6
2020-04-13,31.74
2020-04-09,31.48
2020-04-08,32.84
2020-04-07,31.87
2020-04-06,33.05
2020-04-03,34.11
2020-04-02,29.94
2020-04-01,24.74
2020-03-31,22.74
2020-03-30,22.76
2020-03-27,24.93
2020-03-26,26.34
2020-03-25,27.39
2020-03-24,27.15
2020-03-23,27.03
2020-03-20,26.98
2020-03-19,28.47
2020-03-18,24.88
2020-03-17,28.73
2020-03-16,30.05
2020-03-13,33.85
2020-03-12,33.22
2020-03-11,35.79
2020-03-10,37.22
2020-03-09,34.36
2020-03-06,45.27
2020-03-05,49.99
2020-03-04,51.13
2020-03-03,51.86
2020-03-02,51.9
2020-02-28,50.52
2020-02-27,52.18
2020-02-26,53.43
2020-02-25,54.95
2020-02-24,56.3
2020-02-21,58.5
2020-02-20,59.31
2020-02-19,59.12
2020-02-18,57.75
2020-02-17,57.67
2020-02-14,57.32
2020-02-13,56.34
2020-02-12,55.79
2020-02-11,54.01
2020-02-10,53.27
2020-02-07,54.47
2020-02-06,54.93
2020-02-05,55.28
2020-02-04,53.96
2020-02-03,54.45
2020-01-31,58.16
2020-01-30,58.29
2020-01-29,59.81
2020-01-28,59.51
2020-01-27,59.32
2020-01-24,60.69
2020-01-23,62.04
2020-01-22,63.21
2020-01-21,64.59
2020-01-20,65.2
2020-01-17,64.85
2020-01-16,64.62
2020-01-15,64.0
2020-01-14,64.49
2020-01-13,64.2
2020-01-10,64.98
2020-01-09,65.37
2020-01-08,65.44
2020-01-07,68.27
2020-01-06,68.91
2020-01-03,68.6
2020-01-02,66.25
